product_group,price_per_liter,anomaly,name,price,link,volume,abv,scraped_at,volume_cl,volume_l,name_clean
1268,569.1428571428571,True,Singleton of Dufftown 25 Year Old,398.4,https://www.thewhiskyexchange.com/p/61303/singleton-of-dufftown-25-year-old,70.0,43.0,2024-09-30 15:42:41,70.0,0.7,singleton of dufftown 25 year old
995,20571.428571428572,True,Dalmore 40 Year Old2023 Release,14400.0,https://www.thewhiskyexchange.com/p/71333/dalmore-40-year-old-2023-release,70.0,42.0,2024-09-30 15:51:24,70.0,0.7,dalmore 40 year old2023 release
1169,2314.285714285714,True,Strathisla 197240 Year Old Sherry Cask Gordon & MacPhail,1620.0,https://www.thewhiskyexchange.com/p/40502/strathisla-1972-40-year-old-sherry-cask-gordon-macphail,70.0,43.0,2024-09-30 16:00:55,70.0,0.7,strathisla 197240 year old sherry cask gordon  macphail
1179,788.5714285714287,True,Laphroaig 25 Year OldCask Strength Bot.2019,552.0,https://www.thewhiskyexchange.com/p/51130/laphroaig-25-year-old-cask-strength-bot2019,70.0,51.4,2024-09-30 15:38:49,70.0,0.7,laphroaig 25 year oldcask strength bot2019
1218,7200.000000000001,True,Glen Grant 194865 Year Old Sherry Cask Gordon & MacPhail,5040.0,https://www.thewhiskyexchange.com/p/45357/glen-grant-1948-65-year-old-sherry-cask-gordon-macphail,70.0,40.0,2024-09-30 15:59:55,70.0,0.7,glen grant 194865 year old sherry cask gordon  macphail
1218,3428.571428571429,True,Glen Grant 196243 Year Old Sherry Cask Gordon & MacPhail,2400.0,https://www.thewhiskyexchange.com/p/37014/glen-grant-1962-43-year-old-sherry-cask-gordon-macphail,70.0,40.0,2024-09-30 16:01:54,70.0,0.7,glen grant 196243 year old sherry cask gordon  macphail
1244,771.4285714285714,True,Bruichladdich 21 Year OldBot.1990s,540.0,https://www.thewhiskyexchange.com/p/44918/bruichladdich-21-year-old-bot1990s,70.0,43.0,2024-09-30 15:59:55,70.0,0.7,bruichladdich 21 year oldbot1990s
1257,239.88,True,Br5 - Elements of Islay,119.94,https://www.thewhiskyexchange.com/p/21562/br5-elements-of-islay,50.0,53.8,2024-09-30 15:41:43,50.0,0.5,br5  elements of islay
1263,3857.1428571428573,True,Glen Moray 196626 Year Old,2700.0,https://www.thewhiskyexchange.com/p/22462/glen-moray-1966-26-year-old,70.0,43.0,2024-09-30 16:05:18,70.0,0.7,glen moray 196626 year old
1327,1188.0,True,Lp2 - Elements of Islay,594.0,https://www.thewhiskyexchange.com/p/14907/lp2-elements-of-islay,50.0,64.1,2024-09-30 15:45:35,50.0,0.5,lp2  elements of islay
1376,358.8,True,Glenlivet 18 Year OldBot.1990s,358.8,https://www.thewhiskyexchange.com/p/19267/glenlivet-18-year-old-bot1990s,100.0,43.0,2024-09-30 16:06:30,100.0,1.0,glenlivet 18 year oldbot1990s
1436,400.0,True,Singleton of Auchroisk 1976Bot.1980s,300.0,https://www.thewhiskyexchange.com/p/80548/singleton-of-auchroisk-1976-bot1980s,75.0,40.0,2024-09-30 15:44:52,75.0,0.75,singleton of auchroisk 1976bot1980s
1497,554.8216644649934,True,Tamdhu 8 Year OldBot.1970s,420.0,https://www.thewhiskyexchange.com/p/23645/tamdhu-8-year-old-bot1970s,75.7,40.0,2024-09-30 16:04:35,75.7,0.757,tamdhu 8 year oldbot1970s
1509,5142.857142857143,True,Ardbeg 197426 Year Old Old Malt Cask,3600.0,https://www.thewhiskyexchange.com/p/33/ardbeg-1974-26-year-old-old-malt-cask,70.0,50.0,2024-09-30 15:47:04,70.0,0.7,ardbeg 197426 year old old malt cask
1509,9428.57142857143,True,Ardbeg 196732 Year Old Old Malt Cask,6600.0,https://www.thewhiskyexchange.com/p/69520/ardbeg-1967-32-year-old-old-malt-cask,70.0,43.1,2024-09-30 15:52:24,70.0,0.7,ardbeg 196732 year old old malt cask
2687,1760.0,True,Glenlivet 21 Year OldBot.1980s,1320.0,https://www.thewhiskyexchange.com/p/62153/glenlivet-21-year-old-bot1980s,75.0,43.0,2024-09-30 15:56:12,75.0,0.75,glenlivet 21 year oldbot1980s
1514,2800.0,True,Glenfarclas 12 Year OldBot.1970s,2100.0,https://www.thewhiskyexchange.com/p/39102/glenfarclas-12-year-old-bot1970s,75.0,40.0,2024-09-30 16:01:25,75.0,0.75,glenfarclas 12 year oldbot1970s
1514,6400.0,True,Glenfarclas 10 Year OldBot.1960s,4800.0,https://www.thewhiskyexchange.com/p/32693/glenfarclas-10-year-old-bot1960s,75.0,43.4,2024-09-30 16:02:36,75.0,0.75,glenfarclas 10 year oldbot1960s
1535,2880.0,True,Highland Park 12 Year OldBot.1970s,2160.0,https://www.thewhiskyexchange.com/p/67873/highland-park-12-year-old-bot1970s,75.0,43.0,2024-09-30 15:53:22,75.0,0.75,highland park 12 year oldbot1970s
1535,2057.1428571428573,True,Highland Park 25 Year OldBot.1990s,1440.0,https://www.thewhiskyexchange.com/p/39571/highland-park-25-year-old-bot1990s,70.0,50.7,2024-09-30 16:01:10,70.0,0.7,highland park 25 year oldbot1990s
1535,3428.571428571429,True,Highland Park 25 Year OldBot.1990s,2400.0,https://www.thewhiskyexchange.com/p/31532/highland-park-25-year-old-bot1990s,70.0,53.5,2024-09-30 16:02:50,70.0,0.7,highland park 25 year oldbot1990s
1536,720.0,True,Glen Grant 21 Year OldBot.1980s Gordon & Macphail,540.0,https://www.thewhiskyexchange.com/p/79959/glen-grant-21-year-old-bot1980s-gordon-macphail,75.0,40.0,2024-09-30 15:45:05,75.0,0.75,glen grant 21 year oldbot1980s gordon  macphail
1632,3200.0,True,Glen Grant 20 Year OldBot.1960s,2400.0,https://www.thewhiskyexchange.com/p/46321/glen-grant-20-year-old-bot1960s,75.0,45.0,2024-09-30 15:59:41,75.0,0.75,glen grant 20 year oldbot1960s
1546,2800.0,True,Glendronach 197318 Year Old Sherry Cask,2100.0,https://www.thewhiskyexchange.com/p/12734/glendronach-1973-18-year-old-sherry-cask,75.0,43.0,2024-09-30 16:08:15,75.0,0.75,glendronach 197318 year old sherry cask
1568,188.57142857142858,True,Glenmorangie 10 Year OldBot.1990s,132.0,https://www.thewhiskyexchange.com/p/28914/glenmorangie-10-year-old-bot1990s,70.0,40.0,2024-09-30 16:03:20,70.0,0.7,glenmorangie 10 year oldbot1990s
1568,684.0000000000001,True,Glenmorangie 18 Year OldBot.1990s,478.8,https://www.thewhiskyexchange.com/p/24104/glenmorangie-18-year-old-bot1990s,70.0,43.0,2024-09-30 16:04:20,70.0,0.7,glenmorangie 18 year oldbot1990s
1573,520.0,True,Glen Grant 19685 Year Old,390.0,https://www.thewhiskyexchange.com/p/72316/glen-grant-1968-5-year-old,75.0,40.0,2024-09-30 15:50:39,75.0,0.75,glen grant 19685 year old
2540,358.8,True,Bunnahabhain 12 Year OldBot.1990s Litre,358.8,https://www.thewhiskyexchange.com/p/38766/bunnahabhain-12-year-old-bot1990s-litre,100.0,40.0,2024-09-30 16:01:25,100.0,1.0,bunnahabhain 12 year oldbot1990s litre
1591,2571.4285714285716,True,Glen Grant 196547 Year Old Gordon & MacPhail,1800.0,https://www.thewhiskyexchange.com/p/2212/glen-grant-1965-47-year-old-gordon-macphail,70.0,40.0,2024-09-30 15:46:36,70.0,0.7,glen grant 196547 year old gordon  macphail
1601,638.4,True,Dufftown-Glenlivet 8 Year OldBot.1970s,478.8,https://www.thewhiskyexchange.com/p/23743/dufftown-glenlivet-8-year-old-bot1970s,75.0,46.0,2024-09-30 16:04:35,75.0,0.75,dufftownglenlivet 8 year oldbot1970s
1601,960.0,True,Dufftown-Glenlivet 8 Year OldBot.1960s,720.0,https://www.thewhiskyexchange.com/p/14988/dufftown-glenlivet-8-year-old-bot1960s,75.0,46.0,2024-09-30 16:07:46,75.0,0.75,dufftownglenlivet 8 year oldbot1960s
1623,5944.5178335535,True,Lagavulin 12 Year OldBot.1970s,4500.0,https://www.thewhiskyexchange.com/p/3116/lagavulin-12-year-old-bot1970s,75.7,43.0,2024-09-30 15:46:20,75.7,0.757,lagavulin 12 year oldbot1970s
1649,2057.1428571428573,True,Bowmore 21 Year OldBot.1990s,1440.0,https://www.thewhiskyexchange.com/p/947/bowmore-21-year-old-bot1990s,70.0,43.0,2024-09-30 15:46:50,70.0,0.7,bowmore 21 year oldbot1990s
1649,560.0,True,Bowmore 10 Year OldBot.1980s,420.0,https://www.thewhiskyexchange.com/p/903/bowmore-10-year-old-bot1980s,75.0,40.0,2024-09-30 15:46:50,75.0,0.75,bowmore 10 year oldbot1980s
1654,1120.0,True,Blair Athol 8 Year OldBot.1960s,840.0,https://www.thewhiskyexchange.com/p/12725/blair-athol-8-year-old-bot1960s,75.0,46.0,2024-09-30 16:08:15,75.0,0.75,blair athol 8 year oldbot1960s
1656,638.4,True,Auchentoshan 18 Year OldBot.1980s,478.8,https://www.thewhiskyexchange.com/p/79920/auchentoshan-18-year-old-bot1980s,75.0,43.0,2024-09-30 15:47:34,75.0,0.75,auchentoshan 18 year oldbot1980s
1695,638.4,True,Dalwhinnie 8 Year OldBot.1980s,478.8,https://www.thewhiskyexchange.com/p/23350/dalwhinnie-8-year-old-bot1980s,75.0,40.0,2024-09-30 16:04:49,75.0,0.75,dalwhinnie 8 year oldbot1980s
1709,638.4,True,Strathisla 12 Year OldBot.1980s,478.8,https://www.thewhiskyexchange.com/p/23380/strathisla-12-year-old-bot1980s,75.0,40.0,2024-09-30 16:04:49,75.0,0.75,strathisla 12 year oldbot1980s
1720,176.0,True,Tormore 12 Year OldBot.1990s,132.0,https://www.thewhiskyexchange.com/p/79861/tormore-12-year-old-bot1990s,75.0,40.0,2024-09-30 15:47:49,75.0,0.75,tormore 12 year oldbot1990s
1739,420.0,True,Knockando 1978Bot.1993,420.0,https://www.thewhiskyexchange.com/p/60595/knockando-1978-bot1993,100.0,43.0,2024-09-30 15:56:42,100.0,1.0,knockando 1978bot1993
1749,4714.285714285715,True,Brora 197426 Year Old Old Malt Cask,3300.0,https://www.thewhiskyexchange.com/p/73747/brora-1974-26-year-old-old-malt-cask,70.0,50.0,2024-09-30 15:48:04,70.0,0.7,brora 197426 year old old malt cask
1752,2880.0,True,Talisker 12 Year OldBot.1970s,2160.0,https://www.thewhiskyexchange.com/p/51111/talisker-12-year-old-bot1970s,75.0,43.4,2024-09-30 15:58:27,75.0,0.75,talisker 12 year oldbot1970s
1846,8000.0,True,Bowmore 1969Vintage Label Bot.1980s,6000.0,https://www.thewhiskyexchange.com/p/43177/bowmore-1969-vintage-label-bot1980s,75.0,43.0,2024-09-30 16:00:40,75.0,0.75,bowmore 1969vintage label bot1980s
2770,2880.0,True,Dalmore 12 Year OldBot.1970s,2160.0,https://www.thewhiskyexchange.com/p/22618/dalmore-12-year-old-bot1970s,75.0,43.0,2024-09-30 16:05:18,75.0,0.75,dalmore 12 year oldbot1970s
1921,7714.285714285715,True,Dalmore 30 Year Old2022 Release,5400.0,https://www.thewhiskyexchange.com/p/67703/dalmore-30-year-old-2022-release,70.0,43.2,2024-09-30 15:53:36,70.0,0.7,dalmore 30 year old2022 release
2030,720.0,True,Cardhu 12 Year OldBot.1970s,540.0,https://www.thewhiskyexchange.com/p/28071/cardhu-12-year-old-bot1970s,75.0,43.0,2024-09-30 16:03:34,75.0,0.75,cardhu 12 year oldbot1970s
2079,16000.0,True,Springbank 1966Local Barley Cask #481,12000.0,https://www.thewhiskyexchange.com/p/24071/springbank-1966-local-barley-cask-481,75.0,55.1,2024-09-30 16:04:35,75.0,0.75,springbank 1966local barley cask 481
2224,8718.626155878468,True,Bowmore BicentenaryBot.1979,6600.0,https://www.thewhiskyexchange.com/p/26120/bowmore-bicentenary-bot1979,75.7,43.0,2024-09-30 16:03:49,75.7,0.757,bowmore bicentenarybot1979
2265,12000.0,True,Talisker 1964Bot.1970s Gordon & MacPhail,9000.0,https://www.thewhiskyexchange.com/p/61198/talisker-1964-bot1970s-gordon-macphail,75.0,57.0,2024-09-30 15:56:27,75.0,0.75,talisker 1964bot1970s gordon  macphail
2307,356.67107001321006,True,Glenfiddich 8 Year OldBot.1970s,270.0,https://www.thewhiskyexchange.com/p/22337/glenfiddich-8-year-old-bot1970s,75.7,40.0,2024-09-30 16:05:18,75.7,0.757,glenfiddich 8 year oldbot1970s
2722,8000.0,True,Glen Grant 1945Bot.1980s Gordon & MacPhail,6000.0,https://www.thewhiskyexchange.com/p/19694/glen-grant-1945-bot1980s-gordon-macphail,75.0,40.0,2024-09-30 16:06:16,75.0,0.75,glen grant 1945bot1980s gordon  macphail
2711,5760.0,True,Glenlivet 1949Bot.1980s Gordon & MacPhail,4320.0,https://www.thewhiskyexchange.com/p/15378/glenlivet-1949-bot1980s-gordon-macphail,75.0,40.0,2024-09-30 16:07:30,75.0,0.75,glenlivet 1949bot1980s gordon  macphail
